,pre-processado-sw-lemma,Toxic_predict,Toxic_predict_str
399,potential revision make sure use proper sentence structure example phrase occurs 0 1 0 2 patient receiving conventional anti psychotic e g butyrophenones especially haloperidol phenothiazine thioxanthenes epidemiology section complete sentence also consider expanding section including factor age gender distribution would help article young male may risk factor development nm find information url http cat inist fr amodele affichen cpsidt 2894011 also dantrolene sodium bromocriptine apomorphine function treat nm good linked wikipedia article short description specifying use perhaps needed,0,Non-Toxic
400,aryanprince seems promising use sock banned see ani,0,Non-Toxic
401,personal attack civility regarding edit please see wikipedia personal attack policy comment content contributor personal attack damage community deter user note continued personal attack may lead block disruption please stay cool keep mind editing thank regarding edit important keep cool head especially responding comment edits personal attack disruptive comment escalate situation please keep calm remember action taken party necessary attacking another user back satisfy troll anger contributor lead general bad feeling please try remain civil comment thanks personal attack calling bullshit bullshit amount personal attack regarding comment talk page please rephrase sentance isnot readable meant say repsonse doesnot matter think user belief entitled anything fetish process everyone else template bluntly accurately say comment content contributor attack action allowed attack never reported issue far aware take user user basis donot time go history every user involved make sure offender warned case amib isnot issue comment unless trying minimize action want provide diffs showing bad conduct amib part would happy look warn appropriate last time checked template designed user wouldnot type message prefer give personalized message choice generic message hardly insulting personally use template unless inappropriate situation lastly please reply talk page sake organization discussion doesnot get spread multiple page talk page watch list see respond reply rather amusing action commenting fetishising process meltdown someone challenge authority action rest semantic crap never reported issue far aware pretty weak justification action really couldnot care le new user one feel embattled attacked admin action would clear wp bite coming outside observer canot attack action one side without taking whole context account canot link conversation without reading hand simply attack support friend feel free troll emplates designed user wouldnot type message yep designed lazy unimaginitive use time admit lazy unimaginitive case still calculated insult use one someone isnot new user except purely administrative action like block yes free insult people donot expect seen anything personal attack donot understand use template please refrain using,0,Non-Toxic
402,never mind went killed bastard actually learn dodge lightning sends periodically easy one stand back keep spawning wolf foot occupied blast cold pick wolf keep spawning another chug mana potion didnot even remove one health bad news though onto next act mean way behind,1,Toxic
403,dissagree global warming suck,1,Toxic
404,u suck ba lls well give many different reason let put english 3 day ago slept bed gave amazing feeling u didnt count wa guy continued,1,Toxic
405,penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis penis,1,Toxic
406,marcet tttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttt ttttttt,1,Toxic
407,part woman jew absurd irrelevant unless got quote still stupid,1,Toxic
408,wrestling suck wrestling suck wrestling suck wrestling suck wrestling suck wrestling suck,1,Toxic
409,got new toy idiot maybe get real job stop messing around kid toy fucking joke lol,1,Toxic
410,show suck take air show insult intelligent dignity luna stupid idiotic girl brain smell bad poo poo pimple world butt core fuck earth luna,1,Toxic
411,hey nothing wrong sick prostitute,1,Toxic
412,latest ghouta chemical attack nonsense pov crowd moron pushing conspiracist claptrap erlabaeko know else complete dumbass pro assad fascist tosser,1,Toxic
413,headline text bold textbitch chris brown myne u heare mine buy bitch luv u chris brown,1,Toxic
414,please help resolve copyright problem user flag page wrote dive python copyright violation template come exactly clear procedure added note talk page certifying original author material release g license used rewrote article realized wa informal le encyclopedic temp page dive python temp waited doe somebody responsibility going copyright problem list resolving deleting page process supposed,0,Non-Toxic
415,cant shit illaminatetion,1,Toxic
416,tony romo worthless fatheadwho stupid read letter age 1 111 111 age 100 000 000,1,Toxic
417,good catch wa added back january ip editor without explanation going go ahead remove second character would make much sense em dash,0,Non-Toxic
418,said many time carrie idiot doesnot change write article,1,Toxic
419,dad reckons tried break america fucked failed time came back one cared,1,Toxic
420,sure every right say,1,Toxic
421,fine interested right getting introduction section done agreed upon start history section think need lot work stuff come back dig summarize,0,Non-Toxic
422,usa state ha stolen land indian poor emigrant european made hell earth death penalty life long prison sentence stupid president european hate hate hate,1,Toxic
423,baseball redneck alcoholic baseball shitty sport caters white trash alcoholic every single baseball fan ha ever existed since sport inception binge drinker love break fucking neck sxe,1,Toxic
424,really personally stand man sum obnoxious loudmouthed obstructionist unionist politics unabashed homophobia ugh leave pov door come article repeatedly reverted pov personal attack mind grit teeth every time pas drinkies b,1,Toxic
425,doorawarrah station edit doorawarrah station wa managed brian moore pompy nearly 30 year 2009 sold,0,Non-Toxic
426,donot start start map ruined week al nusra ha presence almost every town rebel minority number already agreed mark presence idlib province everywhere else small number fighter mark place control source example sohr name group inside article example wadi daif etc therefore joint control edits bad idea already enough source jan channel saying soldier active alepo frontlines mainly keeping checkpoint around town village belive week ago checkpoint wa atacked ied,0,Non-Toxic
427,f king support,1,Toxic
428,history original name wa cash money got bitch neighborhood wa richest man world didnot always fuck bitch dime 10,1,Toxic
429,wipe,1,Toxic
430,replied talk copied message continuity,0,Non-Toxic
431,please support argument non american source document importance c19 american painting western painting,0,Non-Toxic
432,moron rubber stamping liar claim thereby shirked abused administrator authority see little reason hold complete contempt,1,Toxic
433,tot mom mother referred tot mom hell stupid name come,1,Toxic
434,please refrain adding nonsense wikipedia jimmy carr considered vandalism would like experiment use sandbox,0,Non-Toxic
435,experience american mobility scooter fat canot walk getting machine walking stupid need machine walk geriatrich stop eating goodness sake help carry 500 pound american died vaction family fun dad wa fat pig died dineyland jeez,1,Toxic
436,fucc slobks neighkbkorhk60d crip cuhkz piruk fruitytownk snoovak,1,Toxic
437,new file file henrietta maria sir anthony van dyck jpg recently file file henrietta maria sir anthony van dyck jpg right wa uploaded appears relevant article currently used interested think would useful addition please feel free include,0,Non-Toxic
438,besides kidman australia extreme south planet come continuous insistence taking u idiot much,1,Toxic
439,article written ha nominated deletion please see wikipedia article deletion maude swear shall fucking kill flea bitten cur like contribute discussion,0,Non-Toxic
440,vandalism enough wizard gay porn vandalism,1,Toxic
441,eric graf gay,1,Toxic
442,sissy fag revert shankbone comment post doe help pursuit truth wikipedia sissy fag,1,Toxic
443,checked august 22 edits remove claim simply removed unsoured pov material 2009 daily mail received widespread criticism biased questioning within online reader poll question nh allow gypsy jump queue public fund trans gender police support group hijacked psychologist user social network twitter helped generate poll result 93 favour 73 favour respectively twitter user vowed launch concerted campaign biased questioning daily mail online website ha already led number reader poll removed suspended angered twitter user led twitter user polljack vowed take campaign daily mail online poll taking opposite stance response expected readership largely fascist posted 92 237 153 188 ignored several message asking post material also put silly statement throughout article mail surprisingly second biggest selling paper many others pov vandalism,1,Toxic
444,suck fatty glane23 hope die choking godzillas swelling erection hope mother get sodomized kim jong un hope brother get testicle fed rabid mole rat hope sister get prepubescent vagina ripped wear hat hope grandma get raped zebra hope grandpa get addicted snorting smashed rabbit skull hope die,1,Toxic
445,think want know sperm look like every know guy come mom virgina,1,Toxic
446,oh irony go show stupid american really scumbag mob lawyer mayor la vega couldnot make,1,Toxic
447,hope stick finger live main outlet hope slip tub crack head open hope car smash wall hope die thirst starvation bleeding death hope ant sting death hope get cancer hope piano fall head hope bus hit end pizza pie hope digest poison leaf paralized 48 hour rat eat flesh hope die pain suffering cursed,1,Toxic
448,hacked nikki hahahahahaha jackass,1,Toxic
449,gay fag spread aid fuck little kid stone gas fag gay fag fuck world god hate fag gay fag spread aid fuck little kid stone gas fag gay fag fuck world god hate fag gay fag spread aid fuck little kid stone gas fag gay fag fuck world god hate fag gay fag spread aid fuck little kid stone gas fag gay fag fuck world god hate fag gay fag spread aid fuck little kid stone gas fag gay fag fuck world god hate fag gay fag spread aid fuck little kid stone gas fag gay fag fuck world god hate fag gay fag spread aid fuck little kid stone gas fag gay fag fuck world god hate fag gay fag spread aid fuck little kid stone gas fag gay fag fuck world god hate fag gay fag spread aid fuck little kid stone gas fag gay fag fuck world god hate fag gay fag spread aid fuck little kid stone gas fag gay fag fuck world god hate fag gay fag spread aid fuck little kid stone gas fag gay fag fuck world god hate fag gay fag spread aid fuck little kid stone gas fag gay fag fuck world god hate fag gay fag spread aid fuck little kid stone gas fag gay fag fuck world god hate fag gay fag spread aid fuck little kid stone gas fag gay fag fuck world god hate fag gay fag spread aid fuck little kid stone gas fag gay fag fuck world god hate fag gay fag spread aid fuck little kid stone gas fag gay fag fuck world god hate fag gay fag spread aid fuck little kid stone gas fag gay fag fuck world god hate fag gay fag spread aid fuck little kid stone gas fag gay fag fuck world god hate fag gay fag spread aid fuck little kid stone gas fag gay fag fuck world god hate fag gay fag spread aid fuck little kid stone gas fag gay fag fuck world god hate fag gay fag spread aid fuck little kid stone gas fag gay fag fuck world god hate fag gay fag spread aid fuck little kid stone gas fag gay fag fuck world god hate fag gay fag spread aid fuck little kid stone gas fag gay fag fuck world god hate fag gay fag spread aid fuck little kid stone gas fag gay fag fuck world god hate fag gay fag spread aid fuck little kid stone gas fag gay fag fuck world god hate fag gay fag spread aid fuck little kid stone gas fag gay fag fuck world god hate fag gay fag spread aid fuck little kid stone gas fag gay fag fuck world god hate fag gay fag spread aid fuck little kid stone gas fag gay fag fuck world god hate fag gay fag spread aid fuck little kid stone gas fag gay fag fuck world god hate fag gay fag spread aid fuck little kid stone gas fag gay fag fuck world god hate fag gay fag spread aid fuck little kid stone gas fag gay fag fuck world god hate fag gay fag spread aid fuck little kid stone gas fag gay fag fuck world god hate fag gay fag spread aid fuck little kid stone gas fag gay fag fuck world god hate fag gay fag spread aid fuck little kid stone gas fag gay fag fuck world god hate fag gay fag spread aid fuck little kid stone gas fag gay fag fuck world god hate fag gay fag spread aid fuck little kid stone gas fag gay fag fuck world god hate fag gay fag spread aid fuck little kid stone gas fag gay fag fuck world god hate fag gay fag spread aid fuck little kid stone gas fag gay fag fuck world god hate fag gay fag spread aid fuck little kid stone gas fag gay fag fuck world god hate fag gay fag spread aid fuck little kid stone gas fag gay fag fuck world god hate fag gay fag spread aid fuck little kid stone gas fag gay fag fuck world god hate fag gay fag spread aid fuck little kid stone gas fag gay fag fuck world god hate fag gay fag spread aid fuck little kid stone gas fag gay fag fuck world god hate fag gay fag spread aid fuck little kid stone gas fag gay fag fuck world god hate fag gay fag spread aid fuck little kid stone gas fag gay fag fuck world god hate fag,1,Toxic
450,user page please stop putting crap thanks,1,Toxic
451,youve alwasy worthless little bitch hereby award scumstar firestar scumbag extraordinaire,1,Toxic
452,depends demonstrate author published expert field required wp sps may able use source limited manner example bill lamb com described lightly creepy good way however definitely using support according priya elan time matter lamb qualification priya elan time also avoid overemphasizing source right almost whole paragraph opinion three paragraph section overweighting,0,Non-Toxic
453,fucken trick bitch bonsai faggot motherfucker cant back shit,1,Toxic
454,please stop vandalism please donot help fool action user dictator administratos rally want kill kill,1,Toxic
455,yup may wa much picture gallery article thank fixed,0,Non-Toxic
456,matter neednot doe disturb u,1,Toxic
457,reference silly one ref,0,Non-Toxic
458,since left vosper thornycroft,0,Non-Toxic
459,idiot im american native new yorker mental illness idiot one thing editing writing adding kemal dub signature recording wrong otherwise really problem im busy project idiot dont delete writing write version neurofunk already got mail wiki told dont want get involved dispute idiot,1,Toxic
460,one twitter pro house assad parrot think like thomasnovotny 37m brown_moses unlike actually care syria donot like see destroyed youtube pseudo expert stianuhlmann destroyed youtube utter moron,1,Toxic
461,wtf siberian language kind pov fork russian language wikipedia issue english language wikipedia job judge merit weakness ru sib wikipedia group people however ignorant biased thay may managed elevate dialect status wiki language start wikipedia dialect language created article ingria every right create interwiki link article crap business everyone course ha right learn language contribute ru sib wikiledia,1,Toxic
462,fuck world cuz fucked ur mother,1,Toxic
463,know protection virtutti militari kick right getting way hand idiot 07 november 2006,1,Toxic
464,guy retarded procharger car gay thing,1,Toxic
465,shut shut shut shut shut shut shut shut need shut right,1,Toxic
466,area code 415 remove woodacre list marin community area code 415,0,Non-Toxic
467,actually wa changing message left please stop continue vandalize page kick pussy donot like misrepresented next person find edit made comment offensive 2000,0,Non-Toxic
468,image joe s_head png listed deletion image medium file uploaded altered image joe s_head png ha listed wikipedia image medium deletion please look see may search title image find entry interested deleted thank,0,Non-Toxic
469,nice catch andresg770 scotty 2 hotty wa assaulted entering ring therefore wa also finish however rule remains need enter ring within certain amount time else disqualified questioning winner match match wa called continue edit delete attempt changing winner rumble report vandalism however,1,Toxic
470,fuck asswhores trying make wikipedia better place asshole get fucking back canot handle fucking pressure lol lay slice,1,Toxic
471,sockpuppet subst uw socksuspect 1 breakevenmatt,1,Toxic
472,matter background information whether wikiproject considers article within scope 100 choice wpmed allowed decline article even though think medical article wp wikiproject health fitness might better match similarly wpfood allowed support even though donot think food related article project banner meant duplicate category system provide definitive answer topic relates,0,Non-Toxic
473,penis penis penis penis,1,Toxic
474,faggity yellow shit wasnot talking cum sucking nigger would wrote niggerin talk page next time stay people shit cum guzzling fuck stick love ya,1,Toxic
475,also dr phil fuckin idiot isnt even real dr ever read fucking pussy talking producer used someone seek help tell biggest bull shit ever theyll listen someone doesont need help little pussy,1,Toxic
476,done retiring wikipedia bullshit style warrior editor keep insisting kick bird editor think moral highground determine correct really make place fucking mess life ultimately add world dealing style warrior,1,Toxic
477,replied feel free use talk page email,0,Non-Toxic
478,humor exceeds reputation mentally challenged friend may barbarian race eats stupid little dog least dont eat little baby girl bury backyard eating dog incomparible eating human sick chink fuck still dont understand call u gook racist term asian mean like im black person call another black person nigger friendly way wow must think ur white something pity thank fly comment im sure ur peasant child experience dont make outrageous random claim stuff belong others oh forgot ur fucking commie wonder,1,Toxic
479,thanks figuring two airstrip kabale new airstrip wa built replace old one even though different location could update article infobox show coordinate runway information replacement airstrip include paragraph old one see alakanuk airport example still use private airstrip think could article,0,Non-Toxic
480,tanner bobbin would delete nothing look forward think loser one know keep making new page new page decide stop deleting bobbin totally worth wikipedia know kill blood hand child forever never stop making page,1,Toxic
481,turk tunisia remove filthy disgusting article turk algeria remove filthy disgusting article turk algeria please delete liar disgusting filthy article algerian arab arabic speaker arab cultured arab religion islam caucasoids whereas turk altaic speaker mongoloid raced people even turkey genetical racial cultural turk input anatolian turk genetically culturally armenian greek using semitic alphabet believing semitic religion please delete article turk genetical cultural study showed algerian arab race culture language religion folklore genetics one call turk arab far anatolian anatolian arab anatolian greek anatolian armenian anatolia wa turk genetical racial cultural input ancestor make arab race culture language religion folklor genetics one person ha amongst 256 great great great great great grandparent 1 anatolian ancestor way turk anatolian arab anatolian kurd anatolian greek anatolian assyrian shifting turkic shifting arab religion islam doe make turkic otherwise english speaking mother tongue english jamaican would called briton mean person 1 256 le 0 001 anatolian arab anatolian greek anatolian armenian anatolian kurd anatolian assyrian ancestry 2 3 generation genetics inherited far ancestor disappear dilution erase fucking filthy disgusting article mr devshirmed greek worshipping arab god,1,Toxic
482,idiot part wa old ill pain anything else substance point nudity normal natural available everywhere put pant dog,1,Toxic
483,stupid guy,1,Toxic
484,yes going reverse donot need caption keynote address section mea culpa,0,Non-Toxic
485,since one ha suggested change article since february removed pov tag discussion appears dormant per instruction template page template meant permanent resident article remove template whenever consensus talkpage npov noticeboard issue ha resolved clear neutrality issue satisfactory explanation ha given absence discussion discussion ha become dormant editor continuing work toward resolution issue missed however please feel free restore cheer,0,Non-Toxic
486,wow crazy,1,Toxic
487,zeit daß ich meine finger davon lasse touch improved helpless always olaf,0,Non-Toxic
488,attempt make disambig page intro article show valid disambig page per wp mosdab whatever title disambig page select half entry fit,0,Non-Toxic
489,yeah wouldnot fun let put junk wherever plea clown label read wp npa,1,Toxic
490,interview camel gérard huet software engineering daily http softwareengineeringdaily com 2015 11 06 caml gerard huet huet distinguishes prefers applicative programming remark notion functional programming late 1970 early 1980,0,Non-Toxic
491,stand corrected fall back retaining existing variety clause,0,Non-Toxic
492,gay web,1,Toxic
493,template snooker world ranking could look recent edit history count 3 reverts one editor would rather issue block continue warn since involved thanks,0,Non-Toxic
494,ut website host shit comment also blog u donkey dick licking nerd,1,Toxic
495,wrote bullshit,1,Toxic
496,oh yeah clash wa world music band direct antecedent red hot chili pepper fuck idiot doe clash anything rhcp co like dumbass twice,1,Toxic
497,quote ha absolutely zero relevance article state hatred islam ha waged perpetual war jew west ha shown zero sign progression improvement akin nazism wa last time jew suicide bombed subway britain demanded britain western country change national symbol parasitic terrorist apologist scum hunted thrown gitmo,1,Toxic
498,ok wasnot sure wa stupid reading correctly,1,Toxic
499,wikipedia wikipedia dumbest website ever jimmy wale congrats made worst website ever 173 86 32 188 talk decline declining unblock request doe address reason block inadequate reason unblocked must convince reviewing administrator block necessary prevent damage disruption wikipedia block longer necessary understand blocked continue cause damage disruption make useful contribution instead please read guide appealing block information,1,Toxic
500,ignorance make laugh well factual proof fine dont put personal bias stemmed lack knowledge genre look conscious rap manage listening real thought provoking music ignorants enjoy idiotic music,1,Toxic
501,cool get kill christian game finally canot wait start complaining hahahahahaha,1,Toxic
502,sucking dick last night,1,Toxic
503,let also add court law still generalized adherence specificity would urge skimming example wilson v eu 1 cal 4th 707 823 p 2d 545 4 cal rptr 2d 379 1992 see lengthy legal opinion defining border legislative district california defined time definition may considered oh way specific need wikipedia obviously advocating kind strict definition court law vagueness original research reign descend confusion benefit reader editor shouldnot feel isnot lhasa therefore going call lhasa deliberative specificity beneficial simply discarded one feel certain area lhasa,0,Non-Toxic
504,jew get jewish section hate jew doe make u jew fuck jewish virgin pedos white power cum sucker disgusting article ha jew symbol sickening letter fuck retarded inbred yid n 88,1,Toxic
505,delete article fucking faggot actually wikipedia already ha article called cannabis corpse fucking retard put back,1,Toxic
506,jjmc89 remember pennsylvania raped pillaged people expect forget ignorent american power outside computer soon experience known life since day since day sealed ten inch within canot withstand power petty soul thus ridding worthless life cause 7th hokage long sharingan fall,1,Toxic
507,stupid bitch,1,Toxic
508,kirok l stok 09 29,1,Toxic
509,november 2014 utc totally agree ignore equivocator missed one albeit one widely known recently proven instigated colonial official great smallpox 1862 63 british columbia massive depopulation set stage appropriation native land still native according recent supreme court decision beyond already taken place initial gold rush led colony founding american involved plan wa enacted british colonial military official including governor 03 56 17,0,Non-Toxic
510,laura bush article fuck fucking say little bitch know graduated top class navy seal involved numerous secret raid al quaeda 300 confirmed kill trained gorilla warfare top sniper entire u armed force nothing another target wipe fuck precision like ha never seen earth mark fucking word think get away saying shit internet think fucker speak contacting secret network spy across usa ip traced right better prepare storm maggot storm wipe pathetic little thing call life fucking dead kid anywhere anytime kill seven hundred way bare hand extensively trained unarmed combat access entire arsenal united state marine corp use full extent wipe miserable face continent little shit could known unholy retribution little clever comment wa bring upon maybe would held fucking tongue paying price goddamn idiot shit fury drown fucking dead kiddo,1,Toxic
511,gfa good faith analysis think minor4th attacked pretty much standard operating procedure since wikipedia culture stupidly frown people letting steam yelling asshole loved page ruined idiot want kill instead invent silly way make circumlocution personal attack read every comment made malicious provocative adjective indeed emotive illustrating minor4th felt redirect welcome wikipedia way lar sure point telling people input lack certain amount helpfulness seem lot strike bit potty much luck technique past look party criticizing like lording like sort parental figure fyi,1,Toxic
512,advocating plagarise source,0,Non-Toxic
513,gay gay gay gay,1,Toxic
514,applied start date hcalendar microformat include date thanks great article pigsonthewing,0,Non-Toxic
515,redirect talk half penny british decimal coin,0,Non-Toxic
516,replied,0,Non-Toxic
517,god god please stop acting like revision made wa acceptable article need popular culture section please tend page without screwing people revision perfectly acceptable donot care quit fucking edits terrible day goodbye dick,1,Toxic
518,know dam well dyk stupid statistic sourced atrociously vague reportthis guy pushing envelope tolerance want reaction either topgun getting one soon,1,Toxic
519,boring fucking article god damn,1,Toxic
520,u new citizenship test october 2008 u citizenship exam test structure change question different answer,0,Non-Toxic
521,5 september 2014 utc silly post discussed issue misrepresenting others argument completely misrepresented mine say christian biased therefore jesus didnot exist nobody ha said people stupidly misrepresent others discussion consensus ever achieved people 22 58,0,Non-Toxic
522,laughing much hurt p c warrior run racist police watchdog filthy capitalist society user yesterday ha also posted erased message stop stalking freak talk page get sillier sillier minute,1,Toxic
523,username hello welcome wikipedia noticed username ladygagapsycho22 may meet wikipedia username policy could seen attack lady gaga real notable person believe username doe violate policy please leave note explaining alternative may file change username may simply create new account use editing,0,Non-Toxic
524,reason let kid vote drink work salt mine idiot,1,Toxic
525,cock,1,Toxic
526,reference comment people made considerable difference never want work hard something,1,Toxic
527,shut ppppppppppppppppppppppppppppppppppppppppppppppppppppppp ryin get paid wfolk,1,Toxic
528,idiot,1,Toxic
529,dynaflow total loser person ha ocd internet addiction person ha job life total loser,1,Toxic
530,propose change statement gamergate ha described involving worse militant islamic fascist anti feminist ideology reliable source would ever print baseless statement wait minute least fascist claim already cited currently 144 hope make quite clear repeating idiotic factually baseless claim wikipedia plain stupid avoided distribute gossip doesnot matter high profile writer say something stupid still stupid writing nonsense wikipedians wait claim reasonably explained report gamergaters claim ethic lot writer various outlet claim harassment nobody wiser statistic seen far interpreted way third party say wait year rewrite history er article another point source reviewed essential article would fall apart without arenot source better quality available think long thanks amusement,0,Non-Toxic
531,lol idea found middle brawl week later everyone else never saw started funny thing actually come said might actually able persuade u fucking jew wa correct instead many u simply even try take seriously anything sock puppet say,1,Toxic
532,ok wa mistake article group spanish football statistic compilation proposed deletion template wa removed someone added speedy deletion template obliged article contested deleted wa mistake lo siento anyone else reading article need massive help cleanup general grammar well reliable third party sourcing failing brought wp afd cheer j81 ǀ,0,Non-Toxic
533,clearly stupid still wasnot logged harrasment,1,Toxic
534,sick idiocy going de watchlist whole lot ai article never ending pointless battle fancruft always win good riddance,0,Non-Toxic
535,use twinkle god damn mind nick dare call pest get fired admin calling people son fucking god damn bitch,1,Toxic
536,welcome back hope ok watching friday sat canot imagine playing dome season trying field fly ball used right fielder yuck,1,Toxic
537,stupid fat smelly bible,1,Toxic
538,hate mr bad language art teacher,1,Toxic
539,shut see,1,Toxic
540,suck get,1,Toxic
541,piece shit deserved everything happened,1,Toxic
542,google translate full gibberish readable people speak english please stop using wasting time,0,Non-Toxic
543,dumbass called oxymoron83 also responsible,1,Toxic
544,,1,Toxic
545,saying shitty doesnot anything wheres problem problem fixed npov problem accuracy problem formatting problem nobody care think article unless going offer way fix sorry,0,Non-Toxic
546,agreed work crap anyway imo,1,Toxic
547,got ta gree wtf page information,1,Toxic
548,problem thanks tip,0,Non-Toxic
549,template check entry cvu,0,Non-Toxic
550,anyone cut coke k think get away damn fool,1,Toxic
551,hey jeff fuck mothafucka fo considerin change young buck discography next album called ca h cow young buck said interview hiphopdx wa finna call fuck mothafucka,1,Toxic
552,idiot,1,Toxic
553,plug way deception thou shalt war google lot stuff course get racist idiot lot good hit,1,Toxic
554,fuck battiboy put clothes hunt kill twelfth doctor sue check id code murder shall kill prick go hell wan na live til next day put back shall kill,1,Toxic
555,class importance class stub need infobox yes need photo yes,0,Non-Toxic
556,reply nobody care many edits quantity doesnot matter quality nagging per se trying help anther wiki thing help whether informally formally doesnot matter much space take talk page doe mean hmm let think talk provide useful link help check see admin doesnot mean calling stupid future please refrain using language message trying polite rude wp first nagging either must incredibly stupid oblivious obvious helping reason made mention clouding talk page wa said wa cloud uker talk page typed one sentence please try remember something conjured refrain cursing basically asking self always change fucker say wise become mindless cumputer nerd like hasnot losed virginity kissed girl continue curse like fuck hole mother fucking bitch whore continue use language asshole problem guess,1,Toxic
557,sole reason page exist behavior want remove link demonstrates said behavior also want documented documentation addition fact use better word fabricating lie twisting truth throwing slander sueing left right people disagree calling people deregatory name comparing hitler simple honest complete retarded jackass suck face truth vaporize page entirely know start doubt motif maybe jack biased crone maybe jack would fit style oh someone jump ip excuse explain newbie wtf proxy one time sue extreme retardation claim banned internet obviously smart enough allowed unsupervisied access presence harmful know forget going start protesting removal le record baboon internet better doesnot deserve hitler mob bos low life wannabe evil simplest form nothing unique better invest byte activist trying save ocean layer something actually important consequential kid future failed lawyer gone berzerk stupid thing ever ori klein,1,Toxic
558,notification automated file description generation upload file theobottestimage jpg contribution description noted thanks even belatedly contribution order help make better use medium attempt ha made automated process identify add certain information medium description page notification placed talk page bot ha identified either uploader file contributor metadata would appreciated could carefully review information bot added opt notification please follow instruction thanks message delivered,0,Non-Toxic
559,hahahah wobbs u got trippin admit eoganan really foolish enough think im epf maybe ha thing common guy wrong much issue ive seen argument others started attacking others matter im eoganan since peopel already know ive used different ip account one doensmt mean much comin u since vandal opinion pusher yaself leave alone alone ya get whats comin eoganan ip yeah im user instigator ignorance many aritcles acutally awesome ive accused epf eoganan scottish people article pissed guy bad hahahahah,1,Toxic
560,idiot,1,Toxic
561,thanks really good appreciated,1,Toxic
562,usually retard use cock,1,Toxic
563,discott filthy racist hope die,1,Toxic
564,stupid question hi stupid question see one kid class despise keep making fun dissing one day gon na crack beat donot wan na beat could offer adive,1,Toxic
565,right mike sorry retract obviously arent real nazi real nazi metapedia kicked didnt think jew stupid evil,1,Toxic
566,national public radio running mental health story people deleting mental health reaction explanation http www npr org 2012 12 16 167374514 shooting raise issue mental health treatment listening presumably audio transcript url soon,1,Toxic
567,grass spider known spider brazil whne bite neuro toxin body realesed body cause get violent erection shit several houers,1,Toxic
568,whomever changed houston page back state editing disgusting,1,Toxic
569,moose jaw moose jaw one stupidest city saskatchewan,1,Toxic
570,fuck cause stupid,1,Toxic
571,wiki page flurbenhurgen donot understand mean saying page flurbenhurgen inappropriate please explain solid reason inappropriate therefore ha removed havenot noticed already wikipedia free encyclopedia reason article title alias seen many article far childish mine donot get removed right public going take right away suck die hole like posting address page telling people go place kill reason page get removed small dumb brain hasnot already noticed give solid reason page get removed donot reason remove article also send asian mafia watch butt like anal rape people love bloopftw,1,Toxic
572,like big butt die,1,Toxic
573,fuck angry shoplifter fuck wikipedia love sucker hard cock,1,Toxic
574,overrepresenting select crazy combining context clip xenophobia,1,Toxic
575,suck big cock,1,Toxic
576,pretty clear none entry added meet guideline please donot add,0,Non-Toxic
577,ask proposition claim skeptic agnostic even atheist assent wa said look definition belief bluffing 01 27 2005 september 6 utc,0,Non-Toxic
578,general method say mentioned diophantus never used general method solution hermann hankel renowned german mathematician made following remark regarding diophantus author diophantos slightest trace general comprehensive method discernible problem call special method refuse work even closely related problem reason difficult modern scholar solve 101st problem even studied 100 diophantos solution ref least think ref rescued version age back hankel h geschichte der mathematic im altertum und mittelalter leipzig 1874 translated english ulrich lirecht chinese mathematics thirteenth century dover publication new york 1973 one ha said since 184 unlikely true etc,0,Non-Toxic
579,hi suk,1,Toxic
580,author wikipedia idiot,1,Toxic
581,nazi theme much attention relation mazurs nazi article think grandfather fight nazi article see mazur nazi area german nazi wa coming found local scumbags gave power,0,Non-Toxic
582,fucking owner really dumb,1,Toxic
583,btw boy suck big one etc,1,Toxic
584,donot know anymore wanted thank gone shit,1,Toxic
585,dance goddamn rabbit dance,0,Non-Toxic
586,anon ep iii emperror talk legend darth tyr could invoke life guy wa hoping see article dude used like 8 light saber floated around hed sumon monster use sweet,1,Toxic
587,chuck norris gay,1,Toxic
588,wan na hav sex beach hahaha,1,Toxic
589,number 60 simply took article needed number replace highly retarded 20 special love 60 see edits clumsy fuck convincing better muahahahaha,1,Toxic
590,whether fucker want admit slipknot metal,1,Toxic
